id,name,gameDesc
1,HP強化,HPが500アップします
2,攻撃強化,攻撃力が100アップします
3,回復強化,回復力が200アップします
4,火ダメージ軽減,火属性モンスターから受けるダメージを軽減します
5,水ダメージ軽減,水属性モンスターから受けるダメージを軽減します
6,木ダメージ軽減,木属性モンスターから受けるダメージを軽減します
7,光ダメージ軽減,光属性モンスターから受けるダメージを軽減します
8,闇ダメージ軽減,闇属性モンスターから受けるダメージを軽減します
9,自動回復,ドロップを消したターン、HPが1000回復する
10,バインド耐性,自分自身へのバインド攻撃を無効化することがある
11,暗闇耐性,暗闇攻撃を無効化することがある
12,お邪魔耐性,お邪魔攻撃を無効化することがある
13,毒耐性,毒攻撃を無効化することがある
14,火ドロップ強化,強化された火ドロップの出現率とダメージがアップする
15,水ドロップ強化,強化された水ドロップの出現率とダメージがアップする
16,木ドロップ強化,強化された木ドロップの出現率とダメージがアップする
17,光ドロップ強化,強化された光ドロップの出現率とダメージがアップする
18,闇ドロップ強化,強化された闇ドロップの出現率とダメージがアップする
19,操作時間延長,ドロップ操作時間が少し延びる
20,バインド回復,回復ドロップを横一列でそろえて消すとバインド状態が3ターン回復する（この覚醒スキルは覚醒無効の影響を受けない）
21,スキルブースト,チーム全体のスキルが1ターン溜まった状態で始まる
22,火列強化,火ドロップを横一列でそろえて消すと火属性の攻撃力がアップする
23,水列強化,水ドロップを横一列でそろえて消すと水属性の攻撃力がアップする
24,木列強化,木ドロップを横一列でそろえて消すと木属性の攻撃力がアップする
25,光列強化,光ドロップを横一列でそろえて消すと光属性の攻撃力がアップする
26,闇列強化,闇ドロップを横一列でそろえて消すと闇属性の攻撃力がアップする
27,2体攻撃,自分と同じ属性のドロップを4個消すと攻撃力がアップし、敵2体に攻撃をする
28,封印耐性,スキル封印を無効化することがある
29,回復ドロップ強化,強化された回復ドロップの出現率と\n回復力がアップす\n回復の4個消しで回復力がアップする
30,マルチブースト,協力プレイ時に自分の全パラメータがアップする
31,ドラゴンキラー,ドラゴンタイプの敵に対して攻撃力が5倍になる。この覚醒が発動した敵に対してダメージの上限値(カンスト値)が1.2倍になる。
32,神キラー,神タイプの敵に対して攻撃力が5倍になる。この覚醒が発動した敵に対してダメージの上限値(カンスト値)が1.2倍になる。
33,悪魔キラー,悪魔タイプの敵に対して攻撃力が5倍になる。この覚醒が発動した敵に対してダメージの上限値(カンスト値)が1.2倍になる。
34,マシンキラー,マシンタイプの敵に対して攻撃力が5倍になる。この覚醒が発動した敵に対してダメージの上限値(カンスト値)が1.2倍になる。
35,バランスキラー,バランスタイプの敵に対して攻撃力が5倍になる。この覚醒が発動した敵に対してダメージの上限値(カンスト値)が1.2倍になる。
36,攻撃キラー,攻撃タイプの敵に対して攻撃力が5倍になる。この覚醒が発動した敵に対してダメージの上限値(カンスト値)が1.2倍になる。
37,体力キラー,体力タイプの敵に対して攻撃力が5倍になる。この覚醒が発動した敵に対してダメージの上限値(カンスト値)が1.2倍になる。
38,回復キラー,回復タイプの敵に対して攻撃力が5倍になる。この覚醒が発動した敵に対してダメージの上限値(カンスト値)が1.2倍になる。
39,進化用キラー,進化用タイプの敵に対して攻撃力がアップする
40,能力覚醒用キラー,能力覚醒タイプの敵に対して攻撃力がアップする
41,強化合成用キラー,強化合成用タイプの敵に対して攻撃力がアップする。
42,売却用キラー,売却用タイプの敵に対して攻撃力がアップする
43,コンボ強化,7コンボ以上で攻撃力がアップする
44,ガードブレイク,5属性同時攻撃すると敵の防御力を無視してダメージを与える
45,追加攻撃,回復ドロップを縦一列でそろえて消すと1ダメージの追い打ち
46,チームHP強化,チームのHPが5%アップする
47,チーム回復強化,チームの回復力が10%アップする
48,ダメージ無効貫通,自分と同じ属性のドロップを3×3の正方形で消すと攻撃力がアップし、ダメージ無効を貫通する
49,覚醒アシスト,他のモンスターにアシストすると自分の覚醒スキルが付与される
50,超追加攻撃,回復ドロップを3×3の正方形で消すと攻撃力がアップし、 999万ダメージの追い打ち
51,スキルチャージ,5属性同時攻撃すると自分のスキルが1ターン溜まる
52,バインド耐性+,自分自身へのバインド攻撃を無効化する
53,操作時間延長+,ドロップ操作時間が延びる
54,雲耐性,雲攻撃を無効化する
55,操作不可耐性,操作不可攻撃を無効化する
56,スキルブースト+,チーム全体のスキルが2ターン溜まった状態で始まる
57,HP50％以上強化,HP50％以上で攻撃力がアップする
58,HP50％以下強化,HP50％以下で攻撃力がアップする
59,回復L字消し,回復ドロップ5個をL字型に消すと敵から受けるダメージを軽減し、攻撃力がアップする
60,L字消し攻撃,自分と同じ属性のドロップ5個をL字型に消すと攻撃力がアップし、ロック状態を解除する
61,超コンボ強化,10コンボ以上で攻撃力が5倍になる
62,コンボドロップ,自分と同じ属性のドロップを10個以上つなげて消すと コンボドロップが落ちてくる(最大8個まで) さらに1コンボ加算(最大4コンボまで)
63,スキルボイス,全パラメータが10%アップする スキル使用時に声が出る（この覚醒スキルは覚醒無効の影響を受けない）
64,ダンジョンボーナス,1人プレイの時にランク経験値、モンスター経験値、入手コイン、卵ドロップ率がほんの少し上昇
65,HP弱化,HPが2500ダウンする(最小1まで)
66,攻撃弱化,攻撃力が1000ダウンする(最小1まで)
67,回復弱化,回復力が2000ダウンする
68,暗闇耐性＋,暗闇攻撃を無効化する
69,お邪魔耐性＋,お邪魔攻撃や爆弾攻撃を無効化する
70,毒耐性＋,毒攻撃を無効化する
71,お邪魔ドロップの加護,お邪魔ドロップが落ちてくるようになり、 お邪魔ドロップを消すと攻撃力がアップする
72,毒ドロップの加護,毒ドロップが落ちてくるようになり、毒か猛毒ドロップを消すと攻撃力がアップする
73,火コンボ強化,火ドロップで2コンボ以上すると、火属性の攻撃力がアップする
74,水コンボ強化,水ドロップで2コンボ以上すると、水属性の攻撃力がアップする
75,木コンボ強化,木ドロップで2コンボ以上すると、木属性の攻撃力がアップする
76,光コンボ強化,光ドロップで2コンボ以上すると、光属性の攻撃力がアップする
77,闇コンボ強化,闇ドロップで2コンボ以上すると、闇属性の攻撃力がアップする
78,十字消し攻撃,自分と同じ属性のドロップ5個を十字型に消すと攻撃力がアップし、超暗闇目覚めを3ターン回復する
79,3色攻撃強化,3色以上同時攻撃で攻撃力がアップ(2.5倍)する
80,4色攻撃強化,4色以上同時攻撃で攻撃力がアップ(3.5倍)する
81,5色攻撃強化,5色同時攻撃で攻撃力が4.5倍になる
82,超つなげ消し強化,自分と同じ属性のドロップを12個以上つなげて消すと、攻撃力が12倍になる
83,ドラゴンタイプ追加,ダンジョン潜入中、ドラゴンタイプが追加される
84,神タイプ追加,ダンジョン潜入中、神タイプが追加される
85,悪魔タイプ追加,ダンジョン潜入中、悪魔タイプが追加される
86,マシンタイプ追加,ダンジョン潜入中、マシンタイプが追加される
87,バランスタイプ追加,ダンジョン潜入中、バランスタイプが追加される
88,攻撃タイプ追加,ダンジョン潜入中、攻撃タイプが追加される
89,体力タイプ追加,ダンジョン潜入中、体力タイプが追加される
90,回復タイプ追加,ダンジョン潜入中、回復タイプが追加される
91,副属性変更・火,ダンジョン潜入中、副属性が火属性に変更される （ダメージは攻撃力の15％分）
92,副属性変更・水,ダンジョン潜入中、副属性が水属性に変更される （ダメージは攻撃力の15％分）
93,副属性変更・木,ダンジョン潜入中、副属性が木属性に変更される （ダメージは攻撃力の15％分）
94,副属性変更・光,ダンジョン潜入中、副属性が光属性に変更される （ダメージは攻撃力の15％分）
